CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/19/2016,12:10,,,40.87359,-73.907715,"(40.87359, -73.907715)",WEST 225 STREET                 ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3543963,Sedan,Station Wagon/Sport Utility Vehicle,,,
10/19/2016,8:15,BRONX,10462,40.846657,-73.85944,"(40.846657, -73.85944)",MORRIS PARK AVENUE              ,BRONXDALE AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3543208,Pick-up Truck,Bus,,,
10/19/2016,15:50,STATEN ISLAND,10309,40.52472,-74.21029,"(40.52472, -74.21029)",WOODVALE AVENUE                 ,AMBOY ROAD,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3543626,Sedan,Sedan,,,
10/19/2016,16:48,,,40.766182,-73.93683,"(40.766182, -73.93683)",33 ROAD                         ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3543687,Station Wagon/Sport Utility Vehicle,,,,
10/19/2016,21:23,STATEN ISLAND,10304,40.59102,-74.100914,"(40.59102, -74.100914)",RICHMOND ROAD                   ,FOUR CORNERS ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3543996,Sedan,Sedan,,,
10/19/2016,9:30,QUEENS,11414,40.664192,-73.841125,"(40.664192, -73.841125)",CROSS BAY BOULEVARD             ,156 AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3542993,Sedan,Bike,,,
10/19/2016,9:00,,,40.66371,-73.759224,"(40.66371, -73.759224)",SPRINGFIELD BOULEVARD           ,145 ROAD,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3542898,Sedan,Sedan,,,
10/19/2016,17:30,,,40.734978,-73.8614,"(40.734978, -73.8614)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3543387,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
10/19/2016,23:00,BRONX,10451,40.817387,-73.92277,"(40.817387, -73.92277)",MORRIS AVENUE                   ,EAST 149 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,3544005,Station Wagon/Sport Utility Vehicle,,,,
10/19/2016,15:15,MANHATTAN,10003,40.730133,-73.98949,"(40.730133, -73.98949)",EAST 9 STREET                   ,3 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3545348,Sedan,Taxi,Pick-up Truck,,
